r,timing_ns,result,num_iters
18158,163022.9025514741,42210,16282
51154,458897.9477477043,53846,45870
36406,326643.3758740705,65079,32645
30069,269840.8630868866,31303,26963
33128,297260.5967901947,35686,29706
37264,334346.49676199275,24841,33415
2442,22086.096076102924,51799,2189
9160,82326.44576106909,62667,8213
16084,144424.17088320252,55474,14422
7505,67486.29396731881,57961,6729
28804,258491.38281165625,8307,25829
43794,392898.69111850223,63006,39270
42879,384706.7428613784,30316,38450
30867,276990.99983957905,3959,27679
56025,502577.8705228199,48852,50238
37035,332302.7230488808,1980,33210
5190,46733.182811822575,64047,4653
50123,449657.4896411965,19876,44946
37648,337786.87729035295,47153,33759
41587,373113.22677213146,58987,37291
37044,332381.3138032718,6598,33218
36271,325447.4719668865,61330,32524
5934,53405.705043236034,8995,5321
36640,328753.9603654498,54105,32855
52083,467230.8898556505,57319,46703
19915,178780.85814391583,11892,17858
39498,354388.73027282296,42714,35418
2020,18308.033646762808,24549,1811
22769,204370.41614698523,27569,20417
28614,256779.20720664083,49138,25658
64390,577593.2749151263,53041,57739
14060,126271.61351372287,57993,12607
18120,162686.51359994165,37272,16248
26767,240215.68799422408,33276,24002
65040,583424.7201944841,44398,58322
55915,501604.4341138592,6970,50140
2274,20584.22302067017,9277,2039
15328,137636.72222606663,60688,13744
53837,482963.15306305484,47302,48276
3820,34440.42760240307,30855,3425
56064,502929.779966914,47023,50273
18437,165521.20231799543,54326,16532
60125,539362.8442674705,19535,53915
19237,172705.0291831169,13448,17250
28457,255367.58629705207,63221,25517
43369,389080.9542195972,56057,38889
8274,74387.62869606122,30297,7419
36497,327468.11411715136,38971,32727
33089,296910.90269477904,37515,29671
51362,460769.9372124126,22251,46057
65265,585441.8487022264,28806,58524
43526,390509.6735824426,41974,39030
26810,240612.50818924227,4379,24041
26627,238960.30522627535,63362,23876
27385,245764.44601746398,44614,24556
53335,478459.4082108424,37244,47826
21047,188933.50110402756,17605,18873
10941,98308.89407315478,983,9811
21903,196601.77367624216,56422,19640
1489,13552.216811032513,14171,1335
6955,62559.401564308595,45114,6236
5900,53098.69744012544,42510,5290
50553,453505.8279526021,58511,45331
47329,424602.78694111254,56826,42440
45653,409572.3815714146,63185,40937
30263,271567.56051676476,28925,27137
46982,421477.52022605046,46219,42129
10567,94945.43511719123,42043,9475
59009,529340.6984052089,36592,52914
32829,294581.84364359337,27868,29438
61462,551336.0559328491,13954,55114
9980,89692.10295301145,17491,8949
32586,292402.4657359187,34224,29220
45623,409309.1485575104,4111,40911
32474,291403.22226442414,5876,29120
29233,262332.5148377332,53709,26213
10891,97859.06694514009,11728,9766
24965,224057.35814067494,40504,22386
15644,140474.5782413345,18988,14028
19756,177347.97817506103,39509,17715
44797,401903.91476040584,24368,40170
41297,370509.090433239,55787,37031
39784,356955.5510558655,7461,35675
23706,212766.28564192148,42427,21257
62880,564048.2207246738,49935,56385
5743,51689.38655575111,56593,5149
22447,201482.691686186,44350,20128
7732,69531.77732334778,28835,6933
22208,199338.0447855872,23638,19914
63024,565338.4373910382,58302,56514
23998,215393.18840070846,32093,21519
59531,534017.3478279592,42352,53382
32437,291049.51103311864,59692,29086
45845,411299.803420112,8820,41110
29970,268942.99636873964,46026,26874
17420,156409.49140463807,56660,15620
50073,449213.40591405134,30621,44901
63501,569616.9256300468,40972,56942
17267,155031.28938836145,43675,15483
51024,457739.75345751917,16262,45754
17110,153618.59277507954,57758,15342
46971,421386.14854333823,55135,42119
51696,463761.3982749329,55308,46356
29443,264211.6095121915,8580,26402
48283,433157.172428891,22166,43296
17838,160145.99293711886,45457,15995
5193,46767.270931623345,43746,4656
6316,56819.522777705184,44841,5663
29289,262845.84902068146,2362,26264
59139,530505.3146352145,8655,53031
8359,75145.28764863689,44791,7495
29863,267983.0335517852,49364,26778
46129,413838.1805950931,52622,41364
13259,119088.80394307293,40117,11889
47281,424166.2025771188,54037,42397
20047,179951.09727573988,35942,17976
52984,475314.83277880354,53705,47511
37951,340512.8088434289,27903,34031
35834,321520.80483836465,4543,32133
11583,104066.5414960928,46476,10386
30350,272353.8183350964,29885,27215
56126,503488.53774864506,20595,50329
1280,11661.141181958175,52533,1147
49699,445860.31056664255,6160,44566
32286,289709.97862952284,33173,28951
47140,422911.3791674749,25369,42271
43460,389907.73058957787,29949,38971
28311,254079.37407590495,2867,25387
20224,181550.60728469634,17561,18135
41102,368763.63291497546,64932,36856
9188,82589.50592574793,4233,8239
38271,343376.72565849294,24656,34318
6205,55828.677586290025,9726,5564
42578,382004.21166152327,36032,38180
41196,369612.2923766099,18523,36941
5533,49806.89165260083,36201,4961
49631,445253.7869197324,7669,44505
27244,244504.90326184971,15946,24430
51557,462513.5562202232,13106,46232
2727,24650.738203316934,23313,2445
11758,105623.10301931445,41629,10543
32367,290440.8021432282,9214,29024
12333,110790.80281350722,16343,11059
21613,193993.90640243,53222,19380
43283,388319.7962374205,48330,38812
9470,85120.41600889471,61569,8491
44404,398367.00019370776,62959,39817
6775,60944.10503110673,18275,6075
11479,103133.2377285621,29513,10293
38503,345466.01247022423,27216,34526
51990,466395.92228401394,31440,46620
11178,100430.43721285801,35229,10023
19656,176456.50950500224,60999,17625
60614,543734.9828193085,52043,54353
64845,581668.7949843558,53543,58147
38072,341585.29959226074,60869,34139
29290,262843.15128782263,61116,26264
22727,203989.17449074384,49699,20379
40128,360031.65169115306,38369,35983
38717,347378.04027665756,20540,34718
19313,173380.5734275368,23324,17318
1495,13610.317395098382,39090,1340
9927,89206.99464636321,48537,8901
62805,563377.7398045142,33292,56318
27398,245885.9293902894,22164,24568
31601,283564.7226488527,16577,28337
30605,274639.1544870639,7846,27444
51285,460081.86218995595,19142,45988
4256,38358.70147063954,28888,3816
5421,48805.905629922585,7853,4861
18074,162278.5647930139,20949,16207
31886,286120.55547276995,53612,28592
43973,394527.9107701549,31091,39431
32152,288509.8162932062,22657,28831
28906,259403.76071282866,38804,25920
61447,551199.3131505579,49938,55100
10550,94796.73658283651,26040,9460
37460,336114.2138716853,8929,33591
35528,318783.27369642525,44094,31858
31024,278388.3508288583,55397,27819
52914,474693.2315655927,3227,47449
17493,157061.2779522587,21316,15686
62492,560563.9243321669,54691,56037
21725,195007.31149935527,16049,19481
35709,320399.19683502254,64166,32020
34115,306116.1075442356,39799,30591
55678,499470.9249523427,38245,49927
28758,258073.6380928767,57505,25787
18645,167389.03810245998,22731,16719
1417,12896.026065764028,42748,1270
23829,213867.58458965045,61859,21367
54139,485670.18130763114,34819,48547
650,6017.77111701132,56878,582
58717,526717.4969979896,46926,52652
35567,319128.1529938684,42265,31893
9190,82599.40894068887,56220,8240
19799,177743.34185539,10612,17754
36301,325711.1028080789,54883,32551
20685,185682.81697261418,42982,18548
7114,63985.117424868506,17497,6379
43636,391489.9308100873,18335,39129
44046,395158.44753569074,61268,39496
7789,70040.84173244977,36242,6984
18427,165435.88212194023,56475,16523
15979,143482.85107060662,45278,14328
43206,387625.1137199524,45221,38743
47849,429267.96760812384,10599,42907
47633,427320.0995572781,30809,42713
61508,551750.2721664237,30277,55155
50362,451810.16355340707,40588,45160
21011,188589.3394265878,64654,18840
7060,63502.85828251933,55310,6330
40272,361322.8500965121,46736,36112
60018,538386.2210455587,22873,53819
63893,573137.2664859734,9148,57294
15084,135465.02427875847,8290,13526
15493,139115.18732298943,57990,13892
2452,22183.385770933666,49650,2198
9256,83200.11639428511,2724,8300
36354,326185.9974208206,23837,32599
35827,321464.4995678459,51912,32126
24303,218111.1028682291,64830,21792
20309,182309.7061565447,32055,18211
54368,487724.4535127029,57680,48752
30142,270468.7010765558,61480,27028
52957,475072.6108378179,39851,47487
63110,566115.0346808557,508,56592
20779,186526.1438214784,62094,18632
13284,119314.02557412736,1984,11912
62434,560052.9362877104,54051,55985
41595,373190.529333908,4851,37299
19061,171116.84950154286,25062,17092
40745,365560.81607339525,56474,36536
33747,302809.34446181887,40257,30261
59331,532230.7195055337,19811,53203
16771,150583.51407140717,58536,15038
64956,582674.6573463281,23137,58247
61330,550152.1213742096,55425,54995
11840,106374.57690669945,10903,10617
10786,96922.698735199,1532,9672
34933,313447.4500388984,8157,31325
2943,26582.8893516221,3103,2639
19578,175753.0343467012,64657,17555
28508,255844.68372091878,45709,25563
63514,569732.1558468896,18522,56954
65021,583253.1446015508,41929,58305
9929,89224.86006104226,35003,8903
58423,524083.4347397196,5273,52389
5958,53629.14580277861,43150,5342
49049,440032.0990590064,14803,43983
55407,497044.44531985855,37514,49684
58365,523566.33811548905,4633,52337
14639,131474.54189736134,5639,13127
58539,525121.6607514896,6553,52493
7600,68361.19168717376,4785,6815
33996,305043.3219911333,58820,30484
30765,276072.10865041096,38983,27587
20700,185818.75882791076,6998,18562
1449,13195.074509944057,22767,1299
50583,453775.33390137274,52064,45358
21988,197364.4799841583,5395,19717
43353,388948.1477401441,33287,38875
26878,241222.99965995166,2870,24102
24483,219746.0393021995,26148,21954
58071,520927.7919222769,28501,52073
6190,55696.57089265103,45710,5550
48264,432985.9399130787,19697,43279
48930,438959.0990395676,33824,43876
24898,223463.74147000062,35246,22326
17197,154401.247265423,58718,15420
348,3309.1682044655504,3840,312
61380,550599.2598468721,44680,55040
62096,557022.6376832725,48062,55682
15789,141782.33594330732,20588,14158
2091,18951.386732209958,2739,1875
8044,72322.15582690849,14203,7213
4432,39934.58807928304,17274,3974
54455,488499.10580313223,58640,48830
58439,524222.73821579706,28043,52403
10044,90258.19807447674,43050,9006
48927,438921.1347355154,54125,43873
11746,105527.76045875506,57312,10532
24060,215950.80620188912,5665,21575
39272,352359.60438291624,65073,35215
47170,423183.38391496695,18922,42298
57302,514026.7187864774,56165,51383
2935,26513.675271793603,57239,2631
12871,115610.5817754274,44873,11541
18379,164998.5034638498,53686,16480
20333,182538.36974213715,689,18233
65391,586571.3022159903,27937,58637
50936,456954.1148873656,22069,45675
20994,188453.3379504284,48651,18825
63675,571174.5559555811,42892,57098
32715,293560.25318244175,13054,29336
32809,294397.00164613134,32166,29420
28416,255008.00800293608,13063,25481
9429,84754.85715848969,11411,8455
61221,549183.5345577045,6776,54898
914,8386.865103527176,39457,819
11419,102592.93019147807,42407,10239
15048,135128.55812613663,55339,13493
18300,164290.57650749382,64111,16409
8637,77641.08828300399,63674,7744
1177,10745.746470670289,28803,1055
44401,398348.51622025546,17739,39815
63510,569696.5503839965,45590,56950
7983,71774.50787777988,33864,7158
19429,174414.15766677374,24604,17422
33175,297676.35614699224,45242,29748
60770,545128.5297964524,44727,54493
45489,408102.0614152883,59116,40790
50201,450358.5269454695,16218,45016
38075,341627.240296214,40568,34142
27325,245223.661338706,57508,24502
13090,117576.76778003546,4362,11738
56630,508007.94969826634,17119,50781
52687,472646.4666907047,32353,47245
1645,14947.91912999595,6855,1475
46874,420526.2344180353,56324,42032
5530,49780.17579489838,56502,4958
48419,434387.4847693534,19148,43418
54117,485472.1798313421,52651,48527
8587,77194.43676314263,8898,7700
28425,255097.94793222708,17681,25489
8109,72910.24111429907,32995,7271
37169,333493.63803938683,12496,33330
60774,545169.5689893888,17659,54497
5299,47705.54342601947,47175,4751
26050,233788.22029934853,36661,23359
63759,571934.4094806983,64153,57173
19719,177020.7546159072,27804,17682
8663,77876.644224402,18774,7768
32013,287257.96764498047,45976,28706
33309,298882.0901259837,55758,29868
43431,389654.2216673887,29629,38945
20557,184534.3443649764,57385,18433
62613,561664.4936775418,22136,56146
34138,306324.21848656074,15200,30612
18768,168486.60182611443,42163,16829
62918,564388.5609109649,54873,56419
60594,543551.7800128151,56341,54335
32706,293474.50322607544,8436,29328
1629,14796.234992995433,49606,1460
39112,350913.5267416408,33936,35072
36377,326397.18151039456,64759,32619
9711,87275.16255791653,3226,8708
41539,372674.4684243816,56198,37248
55089,494200.77279562905,27227,49399
6939,62428.37268838893,22344,6222
47393,425178.20847460337,16864,42498
9196,82656.62370973096,15618,8246
49064,440158.0646033751,44340,43996
27461,246439.41416857607,54490,24624
427,4012.637289612942,58936,382
63308,567888.7545451537,36583,56769
10875,97719.74094862785,54479,9751
39053,350390.25305233436,40063,35019
11890,106825.44051639018,158,10662
61132,548381.007818417,19350,54818
48376,433989.2907490739,48045,43379
52702,472776.54101088666,61890,47258
28310,254059.36206099516,9634,25386
30623,274796.04331298434,17082,27460
41560,372857.89195494144,45133,37267
51418,461275.37746015954,36425,46107
55495,497825.4110895992,31707,49763
1169,10686.357580776737,17418,1048
43477,390070.12962640246,45952,38986
7152,64331.77621276033,22435,6413
18866,169370.73841222492,34207,16917
54345,487526.10576005164,16758,48732
16414,147370.8024169685,50078,14718
52208,468351.28436469473,63217,46815
30337,272230.21088199323,52335,27203
15243,136880.1938061541,46194,13668
21900,196571.1838480786,11202,19638
34777,312052.01405803126,15473,31185
50133,449752.073466733,17727,44955
39707,356253.9500002668,4352,35606
61145,548491.3033147589,62421,54829
56855,510023.8404492799,1527,50983
49360,442815.6438111401,6938,44262
39516,354535.51708657655,51950,35434
18992,170500.05523990034,33338,17030
27032,242597.8303444372,9088,24240
7790,70048.93051868243,29475,6985
24517,220040.17147922414,58154,21984
60703,544526.7319230826,39469,54433
27904,250428.47064685557,5154,25022
7452,67018.96909385132,23486,6682
42715,383226.26795924146,26247,38303
63071,565762.568921555,2337,56557
56838,509868.5264722765,51045,50967
17958,161233.5046973286,19669,16103
29740,266879.7283909063,29932,26668
34793,312188.43041285896,38243,31199
16239,145809.89325543304,54925,14561
17605,158056.39823300755,49664,15786
15507,139253.93572190127,28773,13905
65165,584534.5078927214,50296,58434
48879,438498.23151702224,51336,43830
55093,494230.60955253924,159,49403
53502,479957.833345655,21012,47976
62844,563725.7012999775,31463,56353
6898,62049.91229828373,37707,6185
57765,518185.6540176926,2531,51799
4361,39310.018509508074,39084,3910
31150,279515.31286539434,54528,27932
38948,349452.1215349756,29867,34925
23448,210461.74334971918,19246,21026
9578,86069.24184970565,51464,8588
12600,113180.04434715318,44142,11298
54032,484709.41403117985,38157,48451
20883,187457.13079419598,13536,18726
20334,182526.74742173092,59443,18233
60499,542698.2057051897,43996,54250
9427,84730.24530250602,24945,8453
59969,537945.9566145238,26851,53775
60342,541290.1359598617,58079,54109
39218,351865.21027081495,37365,35167
10846,97441.6237536844,54159,9725
10213,91777.61383502526,13284,9158
18655,167481.17188748304,20582,16728
37833,339452.8986194124,40157,33925
10065,90453.7686407719,31985,9025
29855,267902.39595178276,37979,26771
7567,68043.6532127953,31533,6785
35400,317627.5051295768,58497,31743
1386,12620.732823153981,55962,1242
46457,416783.35850131186,60760,41658
3630,32750.19578379197,6165,3255
12765,114651.94758113164,41444,11446
11443,102809.98698979372,11041,10261
54447,488436.63650928874,47255,48823
3498,31562.729405537568,47636,3136
28126,252417.25116704713,9863,25221
38732,347507.1500134333,50077,34731
33809,303374.6396319984,13829,30317
44601,400144.86948054086,40280,39994
52620,472048.0463293954,27095,47185
25791,231472.48803190363,20247,23127
54265,486801.0647818969,33950,48660
20835,187031.69322748634,10747,18683
64500,578581.8656655365,29402,57838
33057,296618.1905196733,57496,29642
48224,432631.5740711092,28293,43243
57331,514291.37082947325,56485,51409
51935,465912.94851346774,10499,46571
55767,500268.78337705886,25671,50007
35153,315430.4328461591,26400,31522
2849,25740.673600396403,49512,2554
32307,289896.96852509025,22108,28970
11892,106829.45623047027,52145,10663
58255,522585.4924843018,28272,52238
15512,139285.81109546137,60459,13909
14944,134205.87795576677,38376,13400
16340,146725.14994415495,26668,14652
42101,377725.0577799659,53362,37752
37428,335811.93403117155,28910,33562
62169,557686.9109520417,12718,55748
27274,244772.61841693745,9499,24457
18495,166040.86154482982,54966,16584
3228,29138.56245377333,40138,2894
464,4357.177738752565,5120,416
24480,219709.39127890623,46449,21951
60660,544154.1315833826,2845,54395
34317,307916.53907103214,48806,30772
58546,525194.7613136255,24705,52499
6662,59936.05757146533,62215,5973
6115,55031.72472435042,29067,5483
54609,489876.6774034809,64858,48968
6994,62915.99381311933,43285,6271
3405,30734.940876856304,21757,3053
26477,237622.01817362953,30076,23742
60596,543565.8696418233,42807,54337
45169,405230.80189638183,62363,40503
6494,58425.021928809576,19693,5823
54849,492042.68015061104,13282,49184
55272,495823.2563312595,33765,49563
52462,470620.31850156735,47945,47043
59142,530529.8751480269,53875,53033
15717,141124.12774534372,49165,14093
64182,575735.9797494771,19115,57553
21013,188616.55442650593,51120,18842
52549,471411.7590270145,48905,47121
37960,340594.7223840501,32521,34039
51072,458166.96325897425,19051,45797
41135,369049.5544225016,38184,36886
42096,377671.0950062972,21676,37748
40379,362267.3865737993,43398,36208
51040,457880.4868738137,39032,45768
48423,434401.34135902266,57601,43421
8816,79245.89975025058,31759,7905
54124,485539.77587535273,5282,48534
35124,315164.17326499993,26080,31496
21169,190019.27522828718,43804,18982
33692,302323.8722594755,19316,30212
63357,568328.4654106634,32605,56813
56189,504054.03944052017,52921,50385
54624,490025.8868552092,28874,48982
30323,272111.4857623312,16031,27191
51377,460901.9505338709,51788,46070
25232,226460.7607236831,2782,22626
44958,403335.9733196602,48738,40314
41905,375974.61076560104,3753,37577
16367,146958.97416847717,40522,14676
17459,156754.42905266507,54831,15655
4006,36115.86779026667,17092,3592
9158,82311.01335285087,10680,8212
28411,254962.44723947754,46898,25476
31311,280965.6368944156,13377,28077
10819,97206.80718258912,40305,9701
27315,245131.59464228604,59657,24493
39586,355164.9317124401,36907,35497
15238,136840.69361215577,14508,13664
22162,198934.3168746584,7315,19873
24080,216126.75054866212,1367,21593
33092,296940.54818424734,17214,29674
24007,215469.3435185529,36711,21527
48285,433184.81271625444,8632,43298
21458,192612.77170336962,53771,19241
28429,255121.09768666603,56134,25492
24863,223147.51389342727,10007,22295
11985,107666.64508194104,12503,10747
44930,403089.22774291184,41651,40289
15427,138531.45986151692,45965,13833
19452,174635.38438722875,5,17443
51942,465961.087271012,28651,46577
62170,557685.1207307115,5951,55749
43954,394338.8228692004,28622,39414
60040,538574.8473448884,5041,53839
55967,502050.2186808693,48212,50186
31510,282743.0223829966,42685,28255
50470,452771.54014525085,30483,45257
21515,193121.9434423114,61178,19292
30172,270742.58660403226,55033,27055
35082,314780.6078123886,48210,31458
62932,564524.117399986,25656,56432
55598,498754.5806492763,55437,49855
32056,287653.2805893364,17079,28745
42758,383611.552892813,62871,38341
13259,119086.3649806145,40117,11889
52704,472800.5939131815,48356,47260
36236,325131.9206894751,36091,32493
34904,313187.4458426855,7837,31299
50207,450405.3514213896,41137,45021
41469,372059.5229865641,5720,37186
4749,42774.971748298056,34328,4258
18880,169497.57315323508,4990,16930
11579,104030.22035413758,8023,10383
48151,431974.3589075845,63637,43177
2303,20845.224242569064,9597,2065
13262,119125.16387562359,19816,11892
39145,351225.4120366071,7188,35102
45524,408416.6053904524,18834,40822
32977,295908.3025476521,9167,29571
56395,505898.0671006466,34860,50570
60209,540093.4737491593,40796,53990
8656,77823.04770503816,622,7762
62409,559828.5917533536,26663,55963
40255,361170.85775877564,30733,36097
41686,373999.00460801553,44264,37380
6231,56067.77929850136,30347,5587
40746,365568.819418608,49707,36537
47549,426581.1232799905,9548,42638
38054,341433.81748476793,51633,34123
5536,49840.65680761218,15900,4964
34282,307612.73163599387,23567,30741
61323,550091.6692048862,37273,54989
47399,425223.0969244899,41783,42503
9003,80924.85627432894,11229,8073
62896,564200.3255352619,7184,56400
62826,563570.5551503211,22227,56337
11099,99733.6792121048,45654,9952
52474,470742.1470965299,32262,47054
26649,239152.95987855748,45530,23896
38899,349009.7294470182,33845,34881
29169,261764.97316952064,28150,26156
51278,460020.42520887783,990,45982
65302,585756.4992647457,40511,58557
52096,467347.7194583194,34869,46715
61024,547415.677037809,29455,54721
61984,556013.2348056886,19714,55582
5904,53139.997570755266,15442,5294
16602,149066.5030898059,22781,14887
47297,424320.6824132226,11286,42412
38662,346888.50490060035,65120,34668
3286,29667.26263562012,40778,2946
6228,56044.46418902325,50648,5584
34107,306041.9723921396,28414,30584
40372,362222.7756929064,25246,36202
10989,98746.13383627795,3772,9854
11224,100843.63601420278,51552,10064
8475,76196.43976337828,46071,7599
37016,332128.24706881645,65032,33192
515,4808.785101949593,53129,461
37506,336514.5963654731,25252,33632
31183,279818.5308297885,27780,27962
30532,273981.4758983085,43190,27378
44507,399297.01266431063,21168,39910
34243,307258.22242315044,25396,30706
47683,427780.544268788,20064,42758
50053,449025.67585926526,34919,44883
60287,540805.4987343015,37138,54060
52367,469778.70165994315,35600,46958
33921,304363.22398157814,42177,30417
32246,289351.9883496895,41769,28915
15444,138677.4072463515,61968,13848
39286,352480.21655051084,35856,35228
9117,81944.88883247194,26043,8175
61015,547320.2638884137,24837,54713
55368,496684.64565702085,39343,49649
7845,70539.25483369344,50416,7034
51496,461966.26221366244,32767,46177
7673,68997.0278153152,34962,6880
47255,423946.8187454274,33416,42374
5747,51729.94748658793,29525,5153
31987,287027.04265947157,25355,28683
43104,386725.6785555326,14724,38652
47752,428400.3926477911,11788,42820
27428,246148.6172009817,15717,24595
60385,541678.0114608067,29182,54148
50734,455138.5695434371,13062,45494
13646,122554.45372027619,42128,12236
43980,394570.35124593804,49243,39437
47865,429411.45773417136,33369,42921
21860,196218.73259355096,19798,19602
48369,433930.1996461745,29893,43373
58861,528006.1424995115,55293,52781
53538,480277.98511034774,39484,48008
49962,448214.5525417936,61027,44801
41573,372987.93385982286,22683,37279
17726,159142.8799131174,17109,15895
52104,467417.1893118191,46254,46722
23862,214165.33149820176,35111,21397
34870,312882.6573244585,41352,31268
20603,184953.02396568056,8187,18475
20509,184096.41028582485,54596,18390
10327,92804.84982297933,28098,9260
62985,564987.5057697115,60131,56479
9683,87021.77249965092,61660,8682
5652,50887.9258550943,17180,5068
61336,550210.3752061418,14823,55001
36365,326296.07631589624,14921,32609
28692,257476.72235455594,45480,25728
48321,433492.04602524976,27104,43330
25116,225419.27967528292,1502,22522
8382,75376.56267253701,20192,7516
47810,428919.17521466856,12428,42872
11532,103599.70844538255,63988,10340
36233,325094.20181318367,56392,32490
62183,557797.8952853935,49022,55760
61336,550208.745017531,14823,55001
23639,212163.62051158748,37169,21197
51126,458649.84202433494,46759,45845
40143,360171.72679438925,2385,35997
31409,281844.7871429979,5421,28165
9169,82421.89067330041,1764,8222
24660,221333.7923627114,7767,22113
42714,383216.6516074172,33014,38302
64645,579879.1035740364,31002,57968
321,3076.270745308387,55507,287
47028,421903.14762012503,62542,42170
55452,497440.8082340861,60604,49724
62323,559069.8855681716,18936,55886
27768,249199.15412730916,8172,24900
7763,69818.443597573,15621,6961
17754,159403.7606540567,24196,15920
55727,499898.286323415,34267,49971
57523,516017.2858498642,2120,51582
41742,374497.3171133614,58438,37430
8042,72311.56467989674,27737,7211
7989,71836.62276057812,58783,7163
31330,281142.5895085423,15846,28094
38543,345821.5532438585,18620,34562
2122,19225.21996390678,55046,1902
44954,403300.78065104614,10285,40311
35677,320124.4662908102,18626,31992
807,7431.573681140191,42795,723
6269,56401.631714074785,35285,5621
29767,267108.32090250426,43786,26692
47344,424743.612466208,20842,42454
54081,485146.84647425404,34179,48495
28259,253597.69106134019,27146,25340
19352,173731.80007042468,21495,17353
63444,569115.2918551741,33565,56891
30045,269608.49694023817,62669,26941
20665,185505.02189172868,47280,18530
28981,260063.349063525,55447,25987
793,7313.072749427141,6491,711
19783,177591.54471538705,53363,17739
33780,303116.31729957636,13509,30291
60177,539808.9983233112,60777,53961
48369,433931.9084401682,29893,43373
51191,459234.0309690147,30,45904
35702,320338.8057577093,46014,32014
7246,65169.315653795624,41547,6497
25614,229875.52619882408,38628,22968
65326,585995.9546216188,9145,58579
2895,26161.748330108734,314,2596
57606,516750.6043253242,30148,51656
44849,402377.1188160616,89,40217
18602,167006.01530358216,51628,16680
50974,457284.3585268055,27007,45709
54834,491891.3530750388,49266,49170
2832,25587.07131263028,33509,2539
6973,62714.72023061104,54350,6252
43620,391340.8730376929,61086,39114
65462,587211.81340921,6127,58701
1571,14288.55483323666,48966,1408
43616,391314.1047017895,22633,39111
8946,80418.44482885125,3822,8022
42597,382161.0275753058,38501,38197
40840,366414.043594043,3298,36622
